0 23J56 (HighCard, [2, 3, 11, 5, 6])
142 J3Q5T (HighCard, [11, 3, 12, 5, 10])
143 J48T6 (HighCard, [11, 4, 8, 10, 6])
144 J5A6K (HighCard, [11, 5, 14, 6, 13])
145 J69Q2 (HighCard, [11, 6, 9, 12, 2])
146 J72K3 (HighCard, [11, 7, 2, 13, 3])
147 J74A8 (HighCard, [11, 7, 4, 14, 8])
148 J82K7 (HighCard, [11, 8, 2, 13, 7])
149 J9285 (HighCard, [11, 9, 2, 8, 5])
150 J95K4 (HighCard, [11, 9, 5, 13, 4])
151 JTQ67 (HighCard, [11, 10, 12, 6, 7])
152 JQ392 (HighCard, [11, 12, 3, 9, 2])
153 JK9T3 (HighCard, [11, 13, 9, 10, 3])
154 JA9TQ (HighCard, [11, 14, 9, 10, 12])
155 JAT28 (HighCard, [11, 14, 10, 2, 8])
156 Q23TK (HighCard, [12, 2, 3, 10, 13])
157 Q2569 (HighCard, [12, 2, 5, 6, 9])
158 Q387A (HighCard, [12, 3, 8, 7, 14])
159 Q4T92 (HighCard, [12, 4, 10, 9, 2])
160 Q4K23 (HighCard, [12, 4, 13, 2, 3])
161 Q54J6 (HighCard, [12, 5, 4, 11, 6])
162 Q67KT (HighCard, [12, 6, 7, 13, 10])
163 Q7A85 (HighCard, [12, 7, 14, 8, 5])
164 Q7AK5 (HighCard, [12, 7, 14, 13, 5])
165 Q8234 (HighCard, [12, 8, 2, 3, 4])
166 Q8J63 (HighCard, [12, 8, 11, 6, 3])
167 Q8AT6 (HighCard, [12, 8, 14, 10, 6])
168 Q926K (HighCard, [12, 9, 2, 6, 13])
169 QT9KA (HighCard, [12, 10, 9, 13, 14])
170 QJ569 (HighCard, [12, 11, 5, 6, 9])
171 QJ5A4 (HighCard, [12, 11, 5, 14, 4])
172 QK457 (HighCard, [12, 13, 4, 5, 7])
173 QK92A (HighCard, [12, 13, 9, 2, 14])
174 K269J (HighCard, [13, 2, 6, 9, 11])
175 K2AT3 (HighCard, [13, 2, 14, 10, 3])
176 K3274 (HighCard, [13, 3, 2, 7, 4])
177 K35Q9 (HighCard, [13, 3, 5, 12, 9])
178 K3T85 (HighCard, [13, 3, 10, 8, 5])
179 K45J2 (HighCard, [13, 4, 5, 11, 2])
180 K495T (HighCard, [13, 4, 9, 5, 10])
181 K4J67 (HighCard, [13, 4, 11, 6, 7])
182 K7524 (HighCard, [13, 7, 5, 2, 4])
183 K7529 (HighCard, [13, 7, 5, 2, 9])
184 K8Q97 (HighCard, [13, 8, 12, 9, 7])
185 K96QT (HighCard, [13, 9, 6, 12, 10])
186 KT9J4 (HighCard, [13, 10, 9, 11, 4])
187 KTJ96 (HighCard, [13, 10, 11, 9, 6])
188 KQ98J (HighCard, [13, 12, 9, 8, 11])
189 KQJA7 (HighCard, [13, 12, 11, 14, 7])
190 KA694 (HighCard, [13, 14, 6, 9, 4])
191 A42T6 (HighCard, [14, 4, 2, 10, 6])
192 A5824 (HighCard, [14, 5, 8, 2, 4])
193 A6759 (HighCard, [14, 6, 7, 5, 9])
194 A6KT3 (HighCard, [14, 6, 13, 10, 3])
195 A97Q6 (HighCard, [14, 9, 7, 12, 6])
196 A9T48 (HighCard, [14, 9, 10, 4, 8])
197 AT843 (HighCard, [14, 10, 8, 4, 3])
198 ATJ8Q (HighCard, [14, 10, 11, 8, 12])
199 AQ792 (HighCard, [14, 12, 7, 9, 2])
200 2259T (OnePair, [2, 2, 5, 9, 10])
201 22JK6 (OnePair, [2, 2, 11, 13, 6])
202 22AKJ (OnePair, [2, 2, 14, 13, 11])
203 24J43 (OnePair, [2, 4, 11, 4, 3])
204 25695 (OnePair, [2, 5, 6, 9, 5])
205 25TQ2 (OnePair, [2, 5, 10, 12, 2])
206 25Q57 (OnePair, [2, 5, 12, 5, 7])
207 26878 (OnePair, [2, 6, 8, 7, 8])
208 2726T (OnePair, [2, 7, 2, 6, 10])
209 2766A (OnePair, [2, 7, 6, 6, 14])
210 286J2 (OnePair, [2, 8, 6, 11, 2])
211 286K2 (OnePair, [2, 8, 6, 13, 2])
212 2T327 (OnePair, [2, 10, 3, 2, 7])
213 2J2AQ (OnePair, [2, 11, 2, 14, 12])
214 2J523 (OnePair, [2, 11, 5, 2, 3])
215 2Q294 (OnePair, [2, 12, 2, 9, 4])
216 2K263 (OnePair, [2, 13, 2, 6, 3])
217 2KQ27 (OnePair, [2, 13, 12, 2, 7])
218 2KK98 (OnePair, [2, 13, 13, 9, 8])
219 32J42 (OnePair, [3, 2, 11, 4, 2])
220 3369J (OnePair, [3, 3, 6, 9, 11])
221 342K2 (OnePair, [3, 4, 2, 13, 2])
222 343J7 (OnePair, [3, 4, 3, 11, 7])
223 3494A (OnePair, [3, 4, 9, 4, 14])
224 34T5T (OnePair, [3, 4, 10, 5, 10])
225 34KA4 (OnePair, [3, 4, 13, 14, 4])
226 356JJ (OnePair, [3, 5, 6, 11, 11])
227 36J6K (OnePair, [3, 6, 11, 6, 13])
228 384J4 (OnePair, [3, 8, 4, 11, 4])
229 39698 (OnePair, [3, 9, 6, 9, 8])
230 39Q9J (OnePair, [3, 9, 12, 9, 11])
231 3T352 (OnePair, [3, 10, 3, 5, 2])
232 3T446 (OnePair, [3, 10, 4, 4, 6])
233 3TT49 (OnePair, [3, 10, 10, 4, 9])
234 3TAAJ (OnePair, [3, 10, 14, 14, 11])
235 3Q3AJ (OnePair, [3, 12, 3, 14, 11])
236 3Q49Q (OnePair, [3, 12, 4, 9, 12])
237 3Q7Q6 (OnePair, [3, 12, 7, 12, 6])
238 3Q923 (OnePair, [3, 12, 9, 2, 3])
239 3KQA3 (OnePair, [3, 13, 12, 14, 3])
240 3A9JJ (OnePair, [3, 14, 9, 11, 11])
241 3AQQ9 (OnePair, [3, 14, 12, 12, 9])
242 4232Q (OnePair, [4, 2, 3, 2, 12])
243 42372 (OnePair, [4, 2, 3, 7, 2])
244 42KA4 (OnePair, [4, 2, 13, 14, 4])
245 44268 (OnePair, [4, 4, 2, 6, 8])
246 449KJ (OnePair, [4, 4, 9, 13, 11])
247 45K74 (OnePair, [4, 5, 13, 7, 4])
248 4634A (OnePair, [4, 6, 3, 4, 14])
249 466A7 (OnePair, [4, 6, 6, 14, 7])
250 46TTK (OnePair, [4, 6, 10, 10, 13])
251 47TJ4 (OnePair, [4, 7, 10, 11, 4])
252 4T2TK (OnePair, [4, 10, 2, 10, 13])
253 4T74K (OnePair, [4, 10, 7, 4, 13])
254 4J4Q8 (OnePair, [4, 11, 4, 12, 8])
255 4JQQ3 (OnePair, [4, 11, 12, 12, 3])
256 4Q574 (OnePair, [4, 12, 5, 7, 4])
257 55293 (OnePair, [5, 5, 2, 9, 3])
258 55428 (OnePair, [5, 5, 4, 2, 8])
259 55A69 (OnePair, [5, 5, 14, 6, 9])
260 5825J (OnePair, [5, 8, 2, 5, 11])
261 58AJJ (OnePair, [5, 8, 14, 11, 11])
262 5TQ8Q (OnePair, [5, 10, 12, 8, 12])
263 5J5A6 (OnePair, [5, 11, 5, 14, 6])
264 5JKK7 (OnePair, [5, 11, 13, 13, 7])
265 5JAAK (OnePair, [5, 11, 14, 14, 13])
266 5K3JK (OnePair, [5, 13, 3, 11, 13])
267 5K59A (OnePair, [5, 13, 5, 9, 14])
268 5K635 (OnePair, [5, 13, 6, 3, 5])
269 5K6A5 (OnePair, [5, 13, 6, 14, 5])
270 5KKT9 (OnePair, [5, 13, 13, 10, 9])
271 5A899 (OnePair, [5, 14, 8, 9, 9])
272 635K6 (OnePair, [6, 3, 5, 13, 6])
273 63J65 (OnePair, [6, 3, 11, 6, 5])
274 6564J (OnePair, [6, 5, 6, 4, 11])
275 657A5 (OnePair, [6, 5, 7, 14, 5])
276 65KQK (OnePair, [6, 5, 13, 12, 13])
277 662KJ (OnePair, [6, 6, 2, 13, 11])
278 665JA (OnePair, [6, 6, 5, 11, 14])
279 67785 (OnePair, [6, 7, 7, 8, 5])
280 67KQ6 (OnePair, [6, 7, 13, 12, 6])
281 682J6 (OnePair, [6, 8, 2, 11, 6])
282 68652 (OnePair, [6, 8, 6, 5, 2])
283 686TJ (OnePair, [6, 8, 6, 10, 11])
284 6884J (OnePair, [6, 8, 8, 4, 11])
285 68KT6 (OnePair, [6, 8, 13, 10, 6])
286 68A77 (OnePair, [6, 8, 14, 7, 7])
287 695J9 (OnePair, [6, 9, 5, 11, 9])
288 69T6A (OnePair, [6, 9, 10, 6, 14])
289 69J9T (OnePair, [6, 9, 11, 9, 10])
290 6TA9T (OnePair, [6, 10, 14, 9, 10])
291 6J869 (OnePair, [6, 11, 8, 6, 9])
292 6Q353 (OnePair, [6, 12, 3, 5, 3])
293 6Q674 (OnePair, [6, 12, 6, 7, 4])
294 6K33A (OnePair, [6, 13, 3, 3, 14])
295 6K944 (OnePair, [6, 13, 9, 4, 4])
296 6K99J (OnePair, [6, 13, 9, 9, 11])
297 6A9J9 (OnePair, [6, 14, 9, 11, 9])
298 72245 (OnePair, [7, 2, 2, 4, 5])
299 72J52 (OnePair, [7, 2, 11, 5, 2])
300 72AAK (OnePair, [7, 2, 14, 14, 13])
301 73Q88 (OnePair, [7, 3, 12, 8, 8])
302 7442J (OnePair, [7, 4, 4, 2, 11])
303 7443T (OnePair, [7, 4, 4, 3, 10])
304 748A7 (OnePair, [7, 4, 8, 14, 7])
305 7585J (OnePair, [7, 5, 8, 5, 11])
306 77384 (OnePair, [7, 7, 3, 8, 4])
307 774T9 (OnePair, [7, 7, 4, 10, 9])
308 7875J (OnePair, [7, 8, 7, 5, 11])
309 78J76 (OnePair, [7, 8, 11, 7, 6])
310 79Q66 (OnePair, [7, 9, 12, 6, 6])
311 7TQT2 (OnePair, [7, 10, 12, 10, 2])
312 7JQ2Q (OnePair, [7, 11, 12, 2, 12])
313 7JQ44 (OnePair, [7, 11, 12, 4, 4])
314 7A274 (OnePair, [7, 14, 2, 7, 4])
315 7A8AJ (OnePair, [7, 14, 8, 14, 11])
316 828KA (OnePair, [8, 2, 8, 13, 14])
317 838AQ (OnePair, [8, 3, 8, 14, 12])
318 84T46 (OnePair, [8, 4, 10, 4, 6])
319 85399 (OnePair, [8, 5, 3, 9, 9])
320 85949 (OnePair, [8, 5, 9, 4, 9])
321 85J4J (OnePair, [8, 5, 11, 4, 11])
322 863T6 (OnePair, [8, 6, 3, 10, 6])
323 877J4 (OnePair, [8, 7, 7, 11, 4])
324 88T26 (OnePair, [8, 8, 10, 2, 6])
325 88A6T (OnePair, [8, 8, 14, 6, 10])
326 8939K (OnePair, [8, 9, 3, 9, 13])
327 894J4 (OnePair, [8, 9, 4, 11, 4])
328 89Q9K (OnePair, [8, 9, 12, 9, 13])
329 8J382 (OnePair, [8, 11, 3, 8, 2])
330 8J7T8 (OnePair, [8, 11, 7, 10, 8])
331 8J995 (OnePair, [8, 11, 9, 9, 5])
332 8JTTA (OnePair, [8, 11, 10, 10, 14])
333 8JQ33 (OnePair, [8, 11, 12, 3, 3])
334 8Q289 (OnePair, [8, 12, 2, 8, 9])
335 8Q896 (OnePair, [8, 12, 8, 9, 6])
336 8K52K (OnePair, [8, 13, 5, 2, 13])
337 8A68J (OnePair, [8, 14, 6, 8, 11])
338 8AJ83 (OnePair, [8, 14, 11, 8, 3])
339 92723 (OnePair, [9, 2, 7, 2, 3])
340 9293T (OnePair, [9, 2, 9, 3, 10])
341 946Q4 (OnePair, [9, 4, 6, 12, 4])
342 94A97 (OnePair, [9, 4, 14, 9, 7])
343 95A29 (OnePair, [9, 5, 14, 2, 9])
344 967J6 (OnePair, [9, 6, 7, 11, 6])
345 972J2 (OnePair, [9, 7, 2, 11, 2])
346 97JTJ (OnePair, [9, 7, 11, 10, 11])
347 9885A (OnePair, [9, 8, 8, 5, 14])
348 994J6 (OnePair, [9, 9, 4, 11, 6])
349 994A5 (OnePair, [9, 9, 4, 14, 5])
350 995Q7 (OnePair, [9, 9, 5, 12, 7])
351 9J66A (OnePair, [9, 11, 6, 6, 14])
352 9J698 (OnePair, [9, 11, 6, 9, 8])
353 9J947 (OnePair, [9, 11, 9, 4, 7])
354 9JAA5 (OnePair, [9, 11, 14, 14, 5])
355 9Q49T (OnePair, [9, 12, 4, 9, 10])
356 9Q75Q (OnePair, [9, 12, 7, 5, 12])
357 T383J (OnePair, [10, 3, 8, 3, 11])
358 T43T7 (OnePair, [10, 4, 3, 10, 7])
359 T4534 (OnePair, [10, 4, 5, 3, 4])
360 T4748 (OnePair, [10, 4, 7, 4, 8])
361 T4JT3 (OnePair, [10, 4, 11, 10, 3])
362 T4A47 (OnePair, [10, 4, 14, 4, 7])
363 T5T7K (OnePair, [10, 5, 10, 7, 13])
364 T6862 (OnePair, [10, 6, 8, 6, 2])
365 T6T5A (OnePair, [10, 6, 10, 5, 14])
366 T7353 (OnePair, [10, 7, 3, 5, 3])
367 T7837 (OnePair, [10, 7, 8, 3, 7])
368 T7886 (OnePair, [10, 7, 8, 8, 6])
369 T9269 (OnePair, [10, 9, 2, 6, 9])
370 T935T (OnePair, [10, 9, 3, 5, 10])
371 T967T (OnePair, [10, 9, 6, 7, 10])
372 TTQ65 (OnePair, [10, 10, 12, 6, 5])
373 TJ3T7 (OnePair, [10, 11, 3, 10, 7])
374 TJKQK (OnePair, [10, 11, 13, 12, 13])
375 TQK66 (OnePair, [10, 12, 13, 6, 6])
376 TK65K (OnePair, [10, 13, 6, 5, 13])
377 TKA5K (OnePair, [10, 13, 14, 5, 13])
378 TAQ3T (OnePair, [10, 14, 12, 3, 10])
379 J25J3 (OnePair, [11, 2, 5, 11, 3])
380 J363A (OnePair, [11, 3, 6, 3, 14])
381 J3Q3K (OnePair, [11, 3, 12, 3, 13])
382 J44QA (OnePair, [11, 4, 4, 12, 14])
383 J4T45 (OnePair, [11, 4, 10, 4, 5])
384 J4KA4 (OnePair, [11, 4, 13, 14, 4])
385 J565K (OnePair, [11, 5, 6, 5, 13])
386 J6496 (OnePair, [11, 6, 4, 9, 6])
387 J6727 (OnePair, [11, 6, 7, 2, 7])
388 J7322 (OnePair, [11, 7, 3, 2, 2])
389 J7399 (OnePair, [11, 7, 3, 9, 9])
390 J7537 (OnePair, [11, 7, 5, 3, 7])
391 J76A7 (OnePair, [11, 7, 6, 14, 7])
392 J7TT4 (OnePair, [11, 7, 10, 10, 4])
393 J83A3 (OnePair, [11, 8, 3, 14, 3])
394 J8783 (OnePair, [11, 8, 7, 8, 3])
395 JT577 (OnePair, [11, 10, 5, 7, 7])
396 JTTQ3 (OnePair, [11, 10, 10, 12, 3])
397 JJQ4A (OnePair, [11, 11, 12, 4, 14])
398 JQ557 (OnePair, [11, 12, 5, 5, 7])
399 JQT8T (OnePair, [11, 12, 10, 8, 10])
400 JK788 (OnePair, [11, 13, 7, 8, 8])
401 JA66Q (OnePair, [11, 14, 6, 6, 12])
402 Q266J (OnePair, [12, 2, 6, 6, 11])
403 Q2774 (OnePair, [12, 2, 7, 7, 4])
404 Q4558 (OnePair, [12, 4, 5, 5, 8])
405 Q54Q7 (OnePair, [12, 5, 4, 12, 7])
406 Q65AA (OnePair, [12, 6, 5, 14, 14])
407 Q664J (OnePair, [12, 6, 6, 4, 11])
408 Q787J (OnePair, [12, 7, 8, 7, 11])
409 Q8232 (OnePair, [12, 8, 2, 3, 2])
410 Q8843 (OnePair, [12, 8, 8, 4, 3])
411 Q9228 (OnePair, [12, 9, 2, 2, 8])
412 Q997A (OnePair, [12, 9, 9, 7, 14])
413 Q9J55 (OnePair, [12, 9, 11, 5, 5])
414 QTK6Q (OnePair, [12, 10, 13, 6, 12])
415 QJ55A (OnePair, [12, 11, 5, 5, 14])
416 QJ83Q (OnePair, [12, 11, 8, 3, 12])
417 QJTT4 (OnePair, [12, 11, 10, 10, 4])
418 QQ354 (OnePair, [12, 12, 3, 5, 4])
419 QKA88 (OnePair, [12, 13, 14, 8, 8])
420 QA9Q7 (OnePair, [12, 14, 9, 12, 7])
421 K23K6 (OnePair, [13, 2, 3, 13, 6])
422 K27KJ (OnePair, [13, 2, 7, 13, 11])
423 K2A23 (OnePair, [13, 2, 14, 2, 3])
424 K4799 (OnePair, [13, 4, 7, 9, 9])
425 K4AK5 (OnePair, [13, 4, 14, 13, 5])
426 K585J (OnePair, [13, 5, 8, 5, 11])
427 K67KQ (OnePair, [13, 6, 7, 13, 12])
428 K69TT (OnePair, [13, 6, 9, 10, 10])
429 K77J2 (OnePair, [13, 7, 7, 11, 2])
430 K86T8 (OnePair, [13, 8, 6, 10, 8])
431 KT58K (OnePair, [13, 10, 5, 8, 13])
432 KTJ7K (OnePair, [13, 10, 11, 7, 13])
433 KJ224 (OnePair, [13, 11, 2, 2, 4])
434 KJ72J (OnePair, [13, 11, 7, 2, 11])
435 KQJ5K (OnePair, [13, 12, 11, 5, 13])
436 KK23J (OnePair, [13, 13, 2, 3, 11])
437 KKJ9A (OnePair, [13, 13, 11, 9, 14])
438 KKJA6 (OnePair, [13, 13, 11, 14, 6])
439 A347A (OnePair, [14, 3, 4, 7, 14])
440 A3955 (OnePair, [14, 3, 9, 5, 5])
441 A3Q2Q (OnePair, [14, 3, 12, 2, 12])
442 A525J (OnePair, [14, 5, 2, 5, 11])
443 A5JTA (OnePair, [14, 5, 11, 10, 14])
444 A89A4 (OnePair, [14, 8, 9, 14, 4])
445 A8QKA (OnePair, [14, 8, 12, 13, 14])
446 A96AT (OnePair, [14, 9, 6, 14, 10])
447 AJ2A3 (OnePair, [14, 11, 2, 14, 3])
448 AJ65A (OnePair, [14, 11, 6, 5, 14])
449 AJKA8 (OnePair, [14, 11, 13, 14, 8])
450 AA3Q5 (OnePair, [14, 14, 3, 12, 5])
451 22737 (TwoPair, [2, 2, 7, 3, 7])
452 22AAT (TwoPair, [2, 2, 14, 14, 10])
453 23342 (TwoPair, [2, 3, 3, 4, 2])
454 24452 (TwoPair, [2, 4, 4, 5, 2])
455 24455 (TwoPair, [2, 4, 4, 5, 5])
456 28829 (TwoPair, [2, 8, 8, 2, 9])
457 29KK2 (TwoPair, [2, 9, 13, 13, 2])
458 2T2JT (TwoPair, [2, 10, 2, 11, 10])
459 2J299 (TwoPair, [2, 11, 2, 9, 9])
460 2Q9Q2 (TwoPair, [2, 12, 9, 12, 2])
461 2QQA2 (TwoPair, [2, 12, 12, 14, 2])
462 2A244 (TwoPair, [2, 14, 2, 4, 4])
463 32443 (TwoPair, [3, 2, 4, 4, 3])
464 32553 (TwoPair, [3, 2, 5, 5, 3])
465 332JJ (TwoPair, [3, 3, 2, 11, 11])
466 33J55 (TwoPair, [3, 3, 11, 5, 5])
467 35959 (TwoPair, [3, 5, 9, 5, 9])
468 35Q35 (TwoPair, [3, 5, 12, 3, 5])
469 3636J (TwoPair, [3, 6, 3, 6, 11])
470 363T6 (TwoPair, [3, 6, 3, 10, 6])
471 3838J (TwoPair, [3, 8, 3, 8, 11])
472 38737 (TwoPair, [3, 8, 7, 3, 7])
473 3883Q (TwoPair, [3, 8, 8, 3, 12])
474 393Q9 (TwoPair, [3, 9, 3, 12, 9])
475 3T3JT (TwoPair, [3, 10, 3, 11, 10])
476 3Q3Q2 (TwoPair, [3, 12, 3, 12, 2])
477 3Q93Q (TwoPair, [3, 12, 9, 3, 12])
478 3QKQ3 (TwoPair, [3, 12, 13, 12, 3])
479 3A535 (TwoPair, [3, 14, 5, 3, 5])
480 42KK2 (TwoPair, [4, 2, 13, 13, 2])
481 44J55 (TwoPair, [4, 4, 11, 5, 5])
482 45353 (TwoPair, [4, 5, 3, 5, 3])
483 45Q45 (TwoPair, [4, 5, 12, 4, 5])
484 46776 (TwoPair, [4, 6, 7, 7, 6])
485 47478 (TwoPair, [4, 7, 4, 7, 8])
486 48854 (TwoPair, [4, 8, 8, 5, 4])
